Year,Scenario,Auto,Energy,FSD & SW,Robotaxi,Optimus,Other Svcs,Total,YoY,GROWTH DRIVERS & DATA POINTS
2023,Actual,78.5 high auto,6 early energy,1.5 early FSD,0 none,0 none,6.8 modest services,96.8 strong total,— baseline year,"Auto: 1.81M cars (+38% YoY), $1.8B regulatory credits, Cybertruck reveal. Energy: 15 GWh deployed, Megapack backlog begins. FSD: V11.4 rollout, 400M FSD miles. Other Svcs: 60K Superchargers, Insurance in 3 states."
2024,Actual,78 stable auto,9 growing energy,1.4 early FSD,0 none,0 none,9.1 expanding services,97.5 moderate total,1% mild growth,"Auto: 1.79M cars (–1% YoY), Model Y #1 globally. Energy: 25 GWh (+67%), Shanghai Megapack factory online. FSD: V12 rollout, 2B+ FSD miles. Other Svcs: 65K stalls (+19%), NACS adoption, Insurance in 10 states."
2025,Actual (Q1-Q3),67.6* declining auto,25.9* strong energy ramp,2.0* growing FSD,0 none,0 none,9.6* expanding services,105.1* strong total,8% healthy rebound,"Auto: 1.22M cars delivered (Q3: 497K, +12% YoY on tax credit rush), Model Y refresh, Cybertruck 5K in Q3 (–63% YoY). Energy: 32.5 GWh deployed (Q3: 12.5 GWh, +81% YoY on AI datacenter demand). FSD: V14 rollout, 1.2M active subs, 12% paid fleet take-rate, unsupervised pilot in CA/TX/Australia, cumulative miles milestone. Other Svcs: $3.5B Q3 revenue (+25% YoY from software + charging), 3.5K new stalls (network +18% YoY), Insurance in 12+ states, EU solar production starting Q1 2026. Q4 est. to full-year: total revenue $28.1B Q3 (+12% YoY), net income $1.4B (–37% YoY on opex + AI R&D)."
2026F,Neutral,105 high auto,17.5 strong energy,4.8 strong FSD,0.7 early robotaxi,0 none,12.5 strong services,140.5 high total,17% strong growth,"Auto: 2.6M cars delivered (+18%), Model 2 launch begins. Energy: 75 GWh deployed (+50%). FSD: 48% take-rate, $15K average price. Robotaxi: 15,000 units produced, 5,000 deployed, 50M autonomous miles logged. Other Svcs: 100K stalls worldwide, Insurance in 20 markets."
2026F,Bull,118 very high auto,22 very strong energy,8 hyper FSD,1.6 scaling robotaxi,0 none,15 strong services,164.6 very strong total,27% hypergrowth,"3.0M cars delivered, 100 GWh energy deployed, FSD 70% take-rate. Robotaxi: 50,000 units produced, 30,000 active. Other Svcs: strong global expansion."
2026F,Bear,92 weak auto,13 soft energy,3 weak FSD,0.3 pilot robotaxi,0 none,11 modest services,119.3 moderate total,–1% decline,"2.1M cars delivered, 50 GWh energy deployed. FSD: 35% take-rate. Robotaxi: 5,000 units delayed. Other Svcs: steady growth."
2027F,Neutral,120 high auto,25 strong energy,8.5 strong FSD,3 early scale robotaxi,0.5 pilot optimus,14 strong services,171 very strong total,22% strong growth,"Auto: 3.0M cars delivered. Energy: 110 GWh deployed. FSD: 60% take-rate. Robotaxi: 100,000 units produced, 70,000 deployed. Optimus: 1,000 units sold internally at $100K/unit. Other Svcs: 120K stalls."
2027F,Bull,145 very high auto,35 huge energy,15 hypergrowth FSD,6 mass robotaxi,2 early optimus,18 very strong services,221 massive total,34% hypergrowth,"3.8M cars delivered. Energy: 150 GWh deployed. FSD: 85% take-rate. Robotaxi: 300,000 units produced. Optimus: 10,000 units sold. Other Svcs: rapid global expansion."
2027F,Bear,100 weak auto,16 soft energy,4.5 modest FSD,1 early robotaxi,0 none,12 moderate services,133.5 moderate total,12% mild growth,"2.3M cars delivered. Energy: 70 GWh deployed. FSD: 40% take-rate. Robotaxi: 30,000 produced. No Optimus sold. Other Svcs: moderate growth."
2028F,Neutral,135 strong auto,35 strong energy,14 strong FSD,8 scaling robotaxi,3 early optimus,16 strong services,211 very strong total,23% strong growth,"Auto: 3.3M cars delivered. Energy: 150 GWh deployed. Robotaxi: 500,000 produced, 400,000 active. Optimus: 10,000 units sold. Other Svcs: 150K stalls, global insurance rollout."
2028F,Bull,180 extremely high auto,50 massive energy,25 hyper FSD,15 mass robotaxi,8 strong optimus,22 huge services,300 massive total,36% hypergrowth,"4.5M cars delivered. Energy: 250 GWh deployed. Robotaxi: 1,000,000 active. Optimus: 100,000 units sold. Other Svcs: global expansion."
2028F,Bear,105 weak auto,18 weak energy,6 modest FSD,2 small robotaxi,0 none,13 modest services,144 moderate total,8% mild growth,"2.5M cars delivered. Energy: 90 GWh deployed. Robotaxi: 100,000 units produced. No Optimus sold. Other Svcs: scaled modestly."
2029F,Neutral,150 very strong auto,45 strong energy,20 strong FSD,15 scaling robotaxi,8 strong optimus,18 strong services,256 very strong total,21% strong growth,"Auto: 3.5M cars delivered. Energy: 200 GWh deployed. Robotaxi: 1,000,000 produced, 800,000 active. Optimus: 50,000 units sold. Other Svcs: 180K stalls installed."
2029F,Bull,220 extreme auto,70 massive energy,40 hyper FSD,30 hyper robotaxi,20 massive optimus,28 huge services,408 massive total,36% hypergrowth,"5.5M cars delivered. Energy: 400 GWh deployed. Robotaxi: 2,000,000 units produced. Optimus: 500,000 units sold. Other Svcs: major global expansion."
2029F,Bear,110 weak auto,20 weak energy,8 modest FSD,4 small robotaxi,0 none,14 modest services,156 moderate total,8% mild growth,"2.7M cars delivered. Energy: 110 GWh deployed. Robotaxi: 200,000 units produced. No Optimus sold. Other Svcs: moderate expansion."
