Expiration,Volume Calls,Volume Puts,Volume Put-Call Ratio,Open Interest Calls,Open Interest Puts,Open Interest Put-Call Ratio,Implied Volatility,Expected Move,Max Pain,Max Pain vs Current Price,scrape_timestamp,,
"Nov 07, 2025 (0 days) (w)",1265668 high call volume,924889 high put volume,0.73 call-heavy,555002 call OI,572410 put OI,1.03 balanced OI,448.73% extreme IV,2.1% same-day move,445 max-pain,7.09 above current,2025-11-09 04:55:26 UTC,,
"Nov 14, 2025 (7 days) (w)",602452 elevated,455193 moderate,0.76 call-biased,191855 call OI,183834 put OI,0.96 near parity,54.9% normal IV,24.9% weekly move,445 max-pain,7.09 above,2025-11-09 04:55:26 UTC,,
"Nov 21, 2025 (14 days) (m)",133545 normal,107636 moderate,0.81 call-lean,455565 call OI,421730 put OI,0.93 balanced,55.82% normal IV,36.32% bi-weekly move,410 max-pain,-27.91 below,2025-11-09 04:55:26 UTC,,
"Nov 28, 2025 (21 days) (w)",38801 low,30918 low,0.8 call-lean,54967 call OI,57367 put OI,1.04 slight put-OI,53.9% normal,41.87% 3-week move,440 max-pain,2.09 above,2025-11-09 04:55:26 UTC,,
"Dec 05, 2025 (28 days) (w)",25903 low,9071 very low,0.35 strong call-heavy,63152 call OI,18239 put OI,0.29 call-heavy OI,54.88% normal,49.59% 1-month move,445 max-pain,7.09 above,2025-11-09 04:55:26 UTC,,
"Dec 12, 2025 (35 days) (w)",6523 very low,7460 low,1.14 put-biased,7570 call OI,5485 put OI,0.72 call-lean,55.43% normal,56.28% move,425 max-pain,-12.91 below,2025-11-09 04:55:26 UTC,,
"Dec 19, 2025 (42 days) (m)",54310 low,24292 low,0.45 call-heavy,561488 call OI,540575 put OI,0.96 balanced,55.5% normal,61.93% move,340 max-pain,-97.91 deep below,2025-11-09 04:55:26 UTC,,
"Dec 26, 2025 (49 days) (w)",4391 ultra-low,5143 ultra-low,1.17 put-biased,768 call OI,316 put OI,0.41 call-heavy OI,54.78% normal,66.08% move,440 max-pain,2.09 above,2025-11-09 04:55:26 UTC,,
"Jan 16, 2026 (70 days) (m)",57863 normal,31596 moderate,0.55 call-lean,648025 strong call OI,564574 strong put OI,0.87 call-lean,56.58% elevated,82.06% move,330 max-pain,-107.91 deep below,2025-11-09 04:55:26 UTC,,
"Feb 20, 2026 (105 days) (m)",13387 low,12244 low,0.91 near parity,75222 call OI,104815 put OI,1.39 put-heavy OI,58.28% elevated,101.51% move,410 max-pain,-27.91 below,2025-11-09 04:55:26 UTC,,
"Mar 20, 2026 (133 days) (m)",17253 low,8484 low,0.49 call-lean,185869 call OI,258449 put OI,1.39 strong put-OI,58.1% high,114.43% move,355 max-pain,-82.91 below,2025-11-09 04:55:26 UTC,,
"Apr 17, 2026 (161 days) (m)",4666 ultra-low,3239 ultra-low,0.69 neutral-call,50278 call OI,50204 put OI,1.00 parity,58.45% high,128.86% move,405 max-pain,-32.91 below,2025-11-09 04:55:26 UTC,,
"May 15, 2026 (189 days) (m)",5601 very low,5204 very low,0.93 near parity,38756 call OI,60854 put OI,1.57 heavily put-OI,59.56% high,139.82% move,370 max-pain,-67.91 below,2025-11-09 04:55:26 UTC,,
"Jun 18, 2026 (223 days) (w)",13865 low,4370 very low,0.32 call-heavy,458993 call OI,290044 put OI,0.63 call-lean,59.24% high,153.15% move,280 max-pain,-157.91 deeply below,2025-11-09 04:55:26 UTC,,
"Jul 17, 2026 (252 days) (m)",1092 ultra-low,832 ultra-low,0.76 call-lean,20886 OI,29789 OI,1.43 put-OI heavy,59.21% high,160.26% move,400 max-pain,-37.91 below,2025-11-09 04:55:26 UTC,,
"Aug 21, 2026 (287 days) (m)",804 extremely low,541 extremely low,0.67 neutral,23416 call OI,17438 put OI,0.74 call-lean,59.63% high,172.12% move,205 max-pain,-232.91 very deep below,2025-11-09 04:55:26 UTC,,
"Sep 18, 2026 (315 days) (m)",2293 very low,2888 very low,1.26 put-heavy,107127 call OI,67882 put OI,0.63 call-lean,59.36% high,179.27% move,370 max-pain,-67.91 below,2025-11-09 04:55:26 UTC,,
"Dec 18, 2026 (406 days) (m)",12756 low,1603 ultra-low,0.13 extreme call-heavy,247336 call OI,179470 put OI,0.73 call-lean,59.61% high,203.42% move,205 max-pain,-232.91 deep below,2025-11-09 04:55:26 UTC,,
"Jan 15, 2027 (434 days) (m)",6822 very low,2955 very low,0.43 call-heavy,509550 call OI,182246 put OI,0.36 call-heavy OI,59.72% high,210.36% move,270 max-pain,-167.91 below,2025-11-09 04:55:26 UTC,,
"Jun 17, 2027 (587 days) (w)",1642 extremely low,466 extremely low,0.28 strong call-heavy,159457 call OI,83480 put OI,0.52 call-lean,60.04% high,243.42% move,290 max-pain,-147.91 below,2025-11-09 04:55:26 UTC,,
"Dec 17, 2027 (770 days) (m)",3826 ultra-low,1507 ultra-low,0.39 call-heavy,171046 call OI,149628 put OI,0.87 near parity,60.19% high,275.76% move,250 max-pain,-187.91 below,2025-11-09 04:55:26 UTC,,
"Jan 21, 2028 (805 days) (m)",8430 low,1612 ultra-low,0.19 extreme call-heavy,63550 call OI,32826 put OI,0.52 call-lean,60.14% high,281.03% move,450 max-pain,12.09 above current,2025-11-09 04:55:26 UTC,,
Totals,2281893 total calls,1642143 total puts,0.72 overall call-lean,4649878 total call OI,3871655 total put OI,0.83 overall call-lean OI,,,,,,,2025-11-09 04:55:26 UTC
